epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.955,2.07165,4.09798,0.00178,0.70862,0.46809,0.50083,0.26906,1.82122,2.62427,0.00275,0.000369836,0.000369836,0.000369836
2,572.807,1.98694,1.59973,0.00168,0.79259,0.57191,0.65054,0.3506,1.80806,1.29797,0.00278,0.000694372,0.000694372,0.000694372
3,936.105,1.947,1.1427,0.00163,0.76534,0.65306,0.70127,0.38273,1.77174,1.11083,0.00277,0.000973078,0.000973078,0.000973078
4,1191.45,1.93507,1.03737,0.00161,0.76508,0.71326,0.74117,0.39586,1.8257,0.99257,0.00297,0.000904771,0.000904771,0.000904771
5,1427.51,1.90933,0.97018,0.00159,0.77782,0.69424,0.75547,0.40913,1.77355,0.93253,0.00284,0.000836027,0.000836027,0.000836027
6,2686.37,1.875,0.92974,0.00155,0.81974,0.70221,0.75289,0.41706,1.79427,0.95091,0.00286,0.000767284,0.000767284,0.000767284
7,3929.34,1.82955,0.89042,0.00168,0.80399,0.72212,0.75467,0.42371,1.77344,0.89753,0.00291,0.000698541,0.000698541,0.000698541
8,4186.45,1.79558,0.85446,0.00163,0.79478,0.74839,0.77567,0.4256,1.7542,0.86764,0.00285,0.000629798,0.000629798,0.000629798
9,4429.53,1.77072,0.82939,0.0016,0.81574,0.72799,0.76278,0.42947,1.74577,0.85851,0.00282,0.000561055,0.000561055,0.000561055
10,4673.33,1.74422,0.80466,0.00155,0.83129,0.7367,0.77984,0.44517,1.75306,0.86554,0.00284,0.000492312,0.000492312,0.000492312
11,4914.99,1.72456,0.78644,0.00154,0.81978,0.77373,0.799,0.45078,1.73372,0.82481,0.00277,0.000423569,0.000423569,0.000423569
12,5159.96,1.6951,0.76636,0.0015,0.81471,0.75898,0.79854,0.44936,1.74651,0.8137,0.00281,0.000354826,0.000354826,0.000354826
13,5411.74,1.67913,0.74981,0.00147,0.83762,0.77229,0.79915,0.45486,1.73337,0.78091,0.00276,0.000286083,0.000286083,0.000286083
14,5669.53,1.66052,0.73581,0.00144,0.8426,0.76372,0.79346,0.45588,1.74395,0.79988,0.00279,0.000217339,0.000217339,0.000217339
15,5912.5,1.63789,0.72397,0.00141,0.84238,0.77087,0.80154,0.45492,1.74389,0.79349,0.00279,0.000148596,0.000148596,0.000148596
16,6155.55,1.62486,0.72112,0.0014,0.84001,0.7673,0.79757,0.45791,1.72569,0.78722,0.00275,7.98531e-05,7.98531e-05,7.98531e-05
